Area|Estimate!!Total:!!Asia:!!South Central Asia:!!Iran|Estimate!!Total:!!Asia:!!Eastern Asia:!!Korea|Estimate!!Total:
27841|0|0|0
27842|0|0|13
27843|0|0|15
27844|0|0|95
27845|0|0|32
27846|0|0|78
27847|0|0|0
27849|0|0|5
27850|0|0|192
27851|0|0|212
27852|0|0|59
27853|0|0|0
27855|0|0|79
27856|0|0|244
27857|0|0|0
27858|0|78|2329
27860|0|0|3
27861|0|0|0
27862|0|0|3
27863|0|10|519
27864|0|0|45
27865|0|0|16
27866|0|0|71
27869|0|0|33
27870|0|0|587
27871|0|22|200
27872|0|0|0
27873|0|0|23
27874|0|0|15
27875|0|0|0
27876|0|0|10
27877|0|0|0
27878|0|0|0
27879|0|0|3
27880|0|0|275
27881|0|0|0
27882|0|0|410
27883|0|0|414
27884|0|0|101
27885|0|0|44
27886|0|0|1062
27888|0|0|227
27889|0|0|1126
27890|0|0|16
27891|0|0|54
27892|0|44|176
27893|0|37|3116
27896|0|45|956
27897|0|0|0
27909|10|23|1116
27910|0|12|284
27915|0|0|8
27916|0|0|25
27917|0|0|0
27919|0|0|0
27920|0|0|37
27921|0|0|125
27922|0|4|14
27923|0|0|21
27924|0|0|1
27925|0|0|116
27926|0|0|6
27927|0|0|77
27928|0|0|76
27929|0|0|16
27932|0|0|296
27935|0|0|8
27936|0|0|46
27937|0|0|69
27938|0|0|42
27939|0|0|63
27941|0|0|8
27942|0|0|13
27943|0|0|1
27944|0|6|338
27946|0|0|0
27947|0|0|26
27948|0|0|675
27949|0|5|302
27950|0|0|6
27953|0|0|20
27954|0|0|432
27956|0|0|0
27957|0|0|0
27958|0|36|410
27959|0|0|26
27960|0|0|116
27962|0|0|49
27964|0|0|0
27965|0|0|60
27966|0|0|51
27967|0|0|0
27968|0|0|0
27969|0|0|0
27970|0|0|52
27972|0|0|8
27973|0|0|0
27974|0|0|57
27976|0|0|76
27978|0|0|39
27979|0|0|13
27980|0|3|3
27981|0|0|61
27982|0|0|0
27983|0|0|118
27985|0|0|0
27986|0|0|388
28001|0|29|999
28006|0|0|35
28007|0|0|3
28009|0|0|5
28012|0|26|1184
28016|0|0|286
28017|0|0|8
28018|0|0|38
28019|0|0|0
28020|0|0|112
28021|0|0|283
28023|0|0|694
28024|0|0|0
28025|0|0|3562
28027|23|66|9832
28031|18|0|2770
28032|0|13|192
28033|0|0|31
28034|0|24|912
28036|0|31|998
28037|0|0|690
28039|0|0|0
28040|0|0|123
28041|0|0|0
28042|0|0|1
28043|0|0|978
28052|0|0|2305
28054|0|31|2442
28056|0|25|2578
28071|0|0|101
28072|0|0|6
28073|0|0|60
28074|0|0|0
28075|0|66|2009
28076|0|0|0
28077|0|0|0
28078|0|489|6047
28079|27|68|4370
28080|0|0|320
28081|0|25|1489
28083|0|0|1644
28086|0|0|614
28088|0|0|306
28089|0|0|0
28090|0|0|93
28091|0|0|0
28092|0|7|2769
28097|0|0|130
28098|0|0|359
28101|0|0|41
28102|0|0|0
28103|0|26|185
28104|0|28|3552
28105|42|133|6383
28107|0|4|324
28108|0|0|0
28109|0|0|6
28110|0|15|5500
28112|0|0|2976
28114|0|16|266
28115|136|5|2695
28117|0|288|4208
28119|0|0|61
28120|0|6|1114
28124|0|169|390
28125|0|0|15
28127|0|0|264
28128|0|0|289
28129|0|0|25
28133|0|0|0
28134|0|81|2047
28135|0|0|189
28136|0|0|0
28137|0|0|30
28138|0|0|165
28139|0|0|391
28144|0|19|821
28146|0|22|810
28147|0|9|2302
28150|0|0|750
28152|0|0|576
28159|0|0|14
28160|0|0|34
28163|0|0|455
28164|0|0|388
28166|0|8|185
28167|0|18|117
28168|0|0|599
28169|0|0|0
28170|45|118|369
28173|7|78|6300
28174|0|0|938
28202|18|3|1785
28203|12|64|1205
28204|32|0|847
28205|16|17|9823
28206|0|4|1864
28207|0|0|294
28208|0|0|4194
28209|36|31|2106
28210|104|67|7828
28211|42|31|3165
28212|22|0|13202
28213|22|8|8659
28214|77|0|5091
28215|33|92|11006
28216|0|17|6471
28217|0|45|10755
28223|0|14|295
28226|103|81|4378
28227|8|44|8872
28244|0|0|0
28262|318|29|10100
28269|40|140|9756
28270|123|293|6276
28273|0|92|9658
28274|0|0|85
28277|92|325|15533
28278|8|0|5403
28280|0|0|0
28282|0|0|0
28301|0|7|554
28303|0|318|3067
28304|0|241|3175
28305|0|22|304
28306|0|306|2966
28307|0|27|621
28308|0|0|19
28310|0|0|352
28311|0|138|2147
28312|0|22|709
28314|0|688|5528
28315|0|0|445
28318|0|4|105
28320|0|0|34
28323|0|0|373
28325|0|0|27
28326|0|120|1109
28327|0|67|857
28328|0|9|3006
28330|0|0|0
28331|0|0|3
28332|0|0|33
28333|0|0|1486
28334|0|0|944
28337|0|7|418
28338|0|0|231
28339|0|0|467
28340|0|5|138
28341|0|0|473
28342|0|0|0
28343|0|0|3
28344|0|2|634
28345|0|0|103
28347|0|0|202
28348|11|88|1350
28349|0|0|282
28350|0|0|0
28351|0|0|30
28352|0|44|854
28355|0|0|0
28356|0|11|258
28357|0|0|157
28358|8|4|1725
28359|0|0|44
28360|0|0|685
28362|0|0|0
28363|0|0|3
28364|0|2|78
28365|0|73|1987
28366|0|0|323
28367|0|0|34
28368|0|0|0
28369|0|0|44
28371|0|0|219
28372|0|0|164
28373|0|0|264
28374|0|0|961
28375|0|0|0
28376|0|75|2523
28377|0|5|774
28378|0|0|0
28379|0|17|857
28382|0|0|791
28383|0|0|69
28384|0|0|1090
28385|0|0|122
28386|0|0|556
28387|0|0|882
28390|0|123|1536
28391|0|0|196
28392|0|0|0
28393|0|0|176
28394|0|0|244
28395|0|0|76
28396|0|3|46
28398|0|0|1275
28399|0|0|162
28401|0|0|837
28403|0|93|2074
28405|0|0|1766
28409|0|30|1209
28411|0|389|2215
28412|0|100|2131
28420|0|10|200
28421|0|0|86
28422|0|0|200
28423|0|0|54
28424|0|0|0
28425|0|0|416
28428|0|0|209
28429|0|0|315
28430|0|0|24
28431|0|0|251
28432|0|0|38
28433|0|0|5
28434|0|0|0
28435|0|0|129
28436|0|0|0
28438|0|0|0
28439|0|0|70
28441|0|0|247
28442|0|0|57
28443|0|20|802
28444|0|0|70
28445|0|33|231
28447|0|0|103
28448|0|0|139
28449|4|0|58
28450|0|0|58
28451|0|25|2132
28452|0|0|20
28453|0|0|720
28454|0|0|0
28455|0|0|70
28456|0|0|114
28457|0|0|512
28458|0|11|514
28460|0|12|235
28461|0|0|601
28462|0|13|175
28463|0|0|140
28464|0|0|176
28465|0|0|92
28466|0|0|378
28467|0|0|318
28468|0|0|162
28469|0|0|357
28470|0|0|356
28472|0|0|758
28478|0|0|149
28479|0|0|43
28480|0|0|107
28501|0|0|585
28504|0|0|837
28508|0|0|530
28509|0|0|0
28510|0|0|75
28511|0|0|10
28512|11|0|72
28513|0|0|391
28515|0|0|94
28516|0|0|166
28518|0|0|822
28519|0|0|30
28520|0|0|0
28521|0|0|19
28523|0|0|3
28524|0|0|0
28525|0|0|209
28526|0|0|104
28527|0|0|0
28528|0|0|0
28529|0|0|18
28530|0|0|255
28531|0|0|16
28532|0|88|752
28533|0|0|99
28537|0|0|0
28538|0|20|118
28539|0|33|515
28540|0|19|1926
28542|0|0|182
28543|0|0|175
28544|0|0|404
28546|0|212|2475
28547|0|62|919
28551|0|0|869
28552|0|0|0
28553|0|0|0
28554|0|0|0
28555|0|0|21
28556|0|0|24
28557|0|0|579
28560|0|9|2006
28562|0|0|1458
28570|0|0|890
28571|0|0|115
28572|0|0|238
28573|0|0|19
28574|0|0|364
28575|0|0|11
28577|0|0|0
28578|0|0|1468
28579|0|0|0
28580|0|0|644
28581|0|0|0
28582|0|0|24
28584|0|2|459
28585|0|0|182
28586|0|0|142
28587|0|0|2
28589|0|0|0
28590|0|43|1121
28594|0|0|25
28601|0|74|4197
28602|0|0|2126
28604|0|9|270
28605|0|0|150
28606|0|0|0
28607|19|72|1221
28609|0|0|152
28610|0|0|329
28611|0|0|0
28612|0|33|524
28613|0|0|2567
28615|0|0|42
28616|0|0|0
28617|0|0|30
28618|0|0|40
28619|0|0|37
28621|0|0|558
28622|0|0|2
28623|0|0|173
28624|0|0|0
28625|6|22|2174
28626|0|0|63
28627|0|0|0
28628|0|0|0
28629|0|0|0
28630|0|0|501
28631|0|0|14
28634|0|0|233
28635|0|0|106
28636|0|0|40
28637|0|0|57
28638|14|13|368
28640|0|0|286
28641|0|0|0
28642|0|0|70
28643|0|0|128
28644|0|0|13
28645|0|32|1424
28646|0|0|24
28649|0|0|0
28650|0|0|294
28651|0|0|109
28652|0|0|0
28653|0|0|0
28654|0|58|137
28655|0|0|3000
28657|6|0|183
28658|0|0|1619
28659|0|0|1138
28660|0|0|56
28662|0|0|0
28663|0|0|55
28664|0|0|0
28665|0|0|0
28666|0|0|0
28667|0|0|23
28668|0|0|60
28669|0|0|119
28670|0|0|192
28671|0|0|0
28672|0|0|0
28673|0|0|97
28675|0|0|244
28676|0|0|101
28677|0|22|2347
28678|0|0|432
28679|0|0|71
28681|19|19|673
28682|0|0|47
28683|0|0|9
28684|0|0|25
28685|0|0|36
28689|0|0|240
28690|0|0|371
28692|0|0|131
28693|0|0|0
28694|0|10|278
28697|0|58|395
28698|0|0|39
28701|0|0|109
28702|0|0|0
28704|0|84|2614
28705|0|0|84
28707|0|0|0
28708|0|0|0
28709|0|0|33
28710|0|0|0
28711|0|0|362
28712|0|0|441
28713|0|0|253
28714|50|4|473
28715|0|0|1496
28716|0|0|397
28717|0|0|11
28718|0|0|0
28719|0|19|189
28720|0|0|1
28721|0|0|335
28722|0|0|420
28723|0|17|245
28725|0|0|5
28726|0|0|452
28729|0|0|241
28730|0|0|59
28731|0|0|420
28732|0|52|956
28733|0|0|18
28734|0|6|1384
28735|0|0|0
28736|0|0|169
28739|15|6|922
28740|0|0|39
28741|0|0|195
28742|0|0|38
28743|0|0|7
28745|0|0|0
28746|0|13|66
28747|0|0|93
28748|0|5|473
28749|0|0|0
28751|0|0|190
28752|0|0|1460
28753|0|0|80
28754|0|0|208
28755|0|0|0
28756|0|97|244
28757|0|9|38
28758|0|0|0
28759|0|24|477
28761|0|0|92
28762|0|0|225
28763|0|0|152
28766|0|0|9
28768|0|0|121
28770|0|0|0
28771|0|0|210
28772|0|0|99
28773|0|0|41
28774|0|0|54
28775|0|0|84
28777|0|0|619
28778|0|0|307
28779|0|0|625
28781|0|0|0
28782|0|0|167
28783|0|0|328
28785|0|0|166
28786|0|0|464
28787|0|30|1318
28788|0|0|0
28789|0|0|194
28790|0|0|80
28791|0|0|1150
28792|0|10|3337
28801|0|3|497
28803|0|3|2927
28804|22|12|1622
28805|0|47|1125
28806|0|32|3436
28901|0|0|249
28902|0|0|90
28904|22|0|271
28905|0|0|0
28906|0|0|336
28909|0|0|36
29001|0|0|25
29003|0|0|58
29006|0|0|318
29009|0|0|7
29010|0|0|187
29014|0|0|0
29015|0|0|1
29016|0|92|1543
29018|0|0|49
29020|0|0|847
29030|0|0|12
29031|0|0|0
29032|0|0|155
29033|0|24|693
29036|0|245|1416
29037|0|0|43
29038|0|0|36
29039|0|0|0
29040|0|26|207
29042|0|6|434
29044|0|0|194
29045|0|164|1951
29046|0|0|0
29047|0|0|0
29048|0|50|73
29051|0|0|0
29052|0|0|0
29053|0|0|1253
29054|0|0|289
29055|0|0|78
29056|0|0|5
29058|0|0|0
29059|0|0|58
29061|0|0|316
29062|0|0|0
29063|39|55|1615
29065|0|0|13
29067|0|0|191
29069|0|0|4
29070|62|0|722
29072|36|156|4286
29073|0|16|1626
29074|0|0|0
29075|0|0|60
29078|0|0|503
29079|0|0|0
29080|0|0|36
29081|0|0|0
29082|0|0|20
29101|0|0|57
29102|0|0|465
29104|0|0|3
29105|0|0|23
29107|0|0|0
29108|0|0|1790
29111|0|0|0
29112|0|0|7
29113|0|0|0
29114|0|0|0
29115|0|12|315
29117|0|4|15
29118|0|0|529
29122|0|0|0
29123|0|0|329
29125|0|39|57
29126|0|0|1
29127|0|0|104
29128|0|0|52
29129|0|0|180
29130|0|0|57
29133|0|0|0
29135|0|6|166
29137|0|0|21
29138|20|0|1062
29142|0|0|3
29145|0|0|64
29146|0|0|7
29148|0|0|21
29150|0|25|1747
29152|0|0|57
29153|0|4|338
29154|0|13|612
29160|0|0|114
29161|0|0|26
29162|0|0|68
29163|0|0|3
29164|0|0|76
29166|0|0|7
29168|0|0|103
29169|36|38|1445
29170|0|6|1336
29172|0|3|381
29175|0|0|0
29177|0|0|16
29178|0|0|40
29180|0|10|102
29201|63|29|1317
29203|0|23|1421
29204|7|19|513
29205|54|0|1241
29206|7|82|652
29207|30|0|943
29208|0|3|72
29209|81|26|2169
29210|75|33|2712
29212|0|127|1464
29223|12|252|4826
29225|0|0|10
29229|0|287|3453
29301|0|48|4021
29302|0|0|735
29303|0|0|2248
29306|0|0|1373
29307|0|0|689
29316|28|0|2574
29320|0|0|150
29321|0|0|0
29322|0|6|354
29323|11|9|826
29324|0|0|0
29325|0|0|521
29329|0|0|0
29330|0|0|311
29331|0|0|0
29332|0|0|139
29333|0|0|0
29334|0|0|1613
29335|0|0|194
29338|0|0|0
29340|0|0|262
29341|0|0|505
29346|0|0|0
29349|0|0|2039
29351|0|0|149
29353|0|0|37
29355|0|13|36
29356|0|38|279
29360|0|14|526
29364|0|0|0
29365|0|28|1256
29368|0|0|0
29369|0|0|1092
29370|0|0|9
29372|0|0|48
29373|0|0|0
29374|0|0|46
29375|0|0|9
29376|0|0|293
29377|0|0|0
29378|0|0|0
29379|0|0|182
29384|0|0|67
29385|0|0|469
29388|0|0|438
29401|7|0|296
29403|3|0|508
29404|0|0|63
29405|0|0|1320
29406|0|47|5106
29407|0|29|1583
29409|0|0|46
29410|0|17|1819
29412|30|0|1776
29414|31|95|2722
29418|0|80|2116
29420|0|17|2360
29424|0|0|96
29425|0|0|0
29426|0|0|0
29429|0|0|53
29431|0|26|89
29432|0|0|0
29434|0|0|0
29435|0|0|325
29436|0|0|43
29437|0|0|82
29438|0|0|41
29439|0|0|0
29440|0|0|556
29445|11|26|5353
29446|0|0|0
29448|0|0|6
29449|0|0|208
29450|0|0|47
29451|0|0|251
29452|0|0|0
29453|0|0|5
29455|0|0|640
29456|0|64|2915
29458|0|0|10
29461|0|0|835
29464|0|0|2918
29466|0|0|2228
29468|0|0|0
29469|0|0|22
29470|0|0|414
29471|0|0|0
29472|0|0|540
29474|0|0|79
29475|0|0|3
29477|0|0|78
29479|0|0|78
29481|0|0|0
29482|0|15|86
29483|0|87|2604
29485|0|37|4206
29486|0|0|1557
29487|0|0|33
29488|0|0|533
29492|0|22|826
29493|0|0|0
29501|0|92|1867
29505|0|9|896
29506|0|36|369
29510|0|0|119
29511|0|0|105
29512|0|41|354
29516|0|0|0
29518|0|0|9
29519|0|0|0
29520|0|0|441
29525|0|0|76
29526|0|7|1587
29527|0|15|957
29530|0|0|86
29532|0|0|210
29536|0|0|190
29540|0|0|71
29541|0|0|43
29543|0|0|0
29544|0|0|80
29545|0|0|0
29546|0|0|25
29547|0|0|54
29550|0|70|662
29554|0|0|159
29555|0|0|21
29556|0|0|181
29560|0|0|279
29563|0|0|0
29564|0|0|0
29565|0|0|66
29566|0|0|855
29567|0|0|2
29568|0|0|251
29569|0|14|359
29570|0|0|0
29571|0|0|213
29572|0|9|735
29574|0|0|183
29575|0|17|1010
29576|0|73|1279
29577|0|0|4435
29579|0|11|4341
29580|0|0|0
29581|0|0|62
29582|12|7|1746
29583|0|0|184
29584|0|0|6
29585|0|0|1050
29588|0|34|4511
29589|0|0|0
29590|0|0|165
29591|0|0|20
29592|0|0|0
29593|0|0|25
29594|0|0|0
29596|0|0|111
29601|48|12|834
29605|37|17|2732
29607|19|84|3102
29609|76|69|2420
29611|0|0|3859
29613|0|0|132
29614|0|13|164
29615|17|109|4276
29617|0|54|4213
29620|0|0|94
29621|20|20|1536
29624|0|0|444
29625|8|88|847
29626|0|0|638
29627|0|0|335
29628|0|0|8
29630|0|114|920
29631|21|0|1354
29634|0|0|10
29635|0|0|25
29638|0|0|47
29639|0|0|47
29640|0|9|767
29642|0|0|1229
29643|0|7|47
29644|0|0|1182
29645|0|0|427
29646|0|0|1126
29649|0|26|1100
29650|0|107|6019
29651|0|43|3230
29653|0|0|44
29654|0|0|231
29655|0|0|83
29657|0|0|177
29658|0|0|0
29659|0|0|60
29661|0|0|96
29662|0|0|1365
29664|0|0|2
29665|0|0|0
29666|0|10|102
29667|0|0|3
29669|0|0|453
29670|0|0|438
29671|0|0|326
29672|0|12|616
29673|0|0|1335
29676|0|0|64
29678|0|0|449
29680|37|18|2190
29681|77|231|5082
29682|0|0|32
29683|0|0|0
29684|0|0|157
29685|0|0|30
29686|0|0|0
29687|0|23|3841
29689|0|9|140
29690|0|35|983
29691|0|0|960
29692|0|0|40
29693|0|0|340
29696|0|3|188
29697|0|0|866
29702|0|0|177
29704|0|0|89
29706|0|0|229
29707|0|75|2888
29708|0|8|4649
29709|0|0|44
29710|0|11|1299
29712|0|0|46
29714|0|0|32
29715|13|64|3424
29717|0|0|1
29718|0|0|10
29720|0|32|1630
29724|0|0|0
29726|0|0|68
29727|0|0|91
29728|0|0|383
29729|0|0|63
29730|7|0|2422
29732|0|14|2989
29733|0|0|30
29741|0|0|9
29742|0|0|35
29743|0|0|337
29745|0|50|867
29801|21|19|1366
29803|28|0|1632
29805|0|0|115
29809|0|0|19
29810|0|0|17
29812|0|0|169
29816|0|0|84
29817|0|0|69
29819|0|0|37
29821|0|0|4
29824|2|0|564
29826|0|0|0
29827|0|0|107
29828|0|0|18
29829|0|0|401
29831|0|6|152
29832|0|0|201
29834|0|0|48
29835|0|0|75
29836|0|0|0
29838|0|0|9
29840|0|0|0
29841|66|0|990
29842|0|0|713
29843|0|4|4
29844|0|0|8
29845|0|0|1
29847|0|0|199
29848|0|0|22
29849|0|0|4
29851|0|0|155
29853|0|0|55
29856|0|0|422
29860|0|0|332
29899|0|0|13
29902|0|0|967
29904|0|13|24
29905|0|8|51
29906|0|0|1080
29907|0|0|290
29909|45|34|1626
29910|0|51|4243
29911|0|0|8
29912|0|0|0
29915|0|0|15
29916|0|0|28
29918|0|0|286
29920|20|0|779
29921|0|0|0
29922|0|0|0
29923|0|0|0
29924|0|0|87
29926|13|0|3277
29927|0|0|1488
29928|6|16|1027
29929|0|0|2
29932|0|0|32
29934|0|0|69
29935|0|0|165
29936|0|28|1009
29939|0|0|0
29940|0|0|57
29941|0|0|13
29943|0|0|0
29944|0|0|220
29945|0|0|69
30002|6|0|724
30004|501|307|16917
30005|102|343|12249
30008|29|17|7819
30009|0|88|3864
30011|0|52|2032
30012|0|115|4048
30013|0|22|3151
30014|0|0|2139
30016|0|1|3391
30017|0|0|5221
30018|0|0|0
30019|0|68|6834
30021|4|0|13655
30022|344|1347|17915
30024|426|5136|23682
30025|0|0|192
30028|0|0|2799
30030|52|130|3184
30032|0|52|2663
30033|38|324|6045
30034|0|0|3465
30035|0|0|2142
30038|0|0|5425
30039|0|49|10100
30040|109|119|12524
30041|149|730|14850
30043|93|2208|22351
30044|128|722|32556
30045|0|567|9963
30046|0|173|10894
30047|0|446|20623
30052|93|96|8487
30054|0|0|926
30055|0|0|141
30056|0|0|55
30058|0|0|6824
30060|77|68|9823
30062|295|840|9885
30064|0|70|4389
30066|142|244|8172
30067|289|438|10884
30068|196|627|5382
30070|0|0|0
30071|0|234|8248
30072|0|0|0
30075|284|106|7799
30076|71|110|10194
30078|0|553|9359
30079|0|46|482
30080|25|80|8854
30082|0|332|4054
30083|0|37|12811
30084|149|250|10879
30087|0|174|6445
30088|0|0|2848
30090|0|0|0
30092|87|600|6325
30093|0|82|20598
30094|67|78|2066
30096|91|3303|21922
30097|309|3987|16659
30101|79|16|5611
30102|62|26|4935
30103|0|0|411
30104|0|0|36
30105|0|0|28
30106|0|144|2676
30107|0|0|717
30108|0|32|74
30110|0|0|183
30111|0|0|0
30113|0|0|28
30114|0|389|5794
30115|0|23|3202
30116|0|11|1267
30117|0|0|2158
30118|0|0|39
30120|0|0|1711
30121|0|0|1929
30122|0|21|3510
30124|0|0|56
30125|0|25|2957
30126|0|0|7990
30127|9|25|8655
30132|0|13|2997
30134|0|4|2894
30135|0|13|6331
30137|0|0|86
30139|0|0|53
30141|0|0|2170
30143|0|0|615
30144|184|147|11068
30145|0|0|54
30147|0|0|160
30148|0|0|0
30149|0|35|145
30152|87|203|5328
30153|0|0|580
30157|0|0|2603
30161|0|32|1127
30165|20|45|4967
30168|0|0|4099
30170|0|0|6
30171|0|0|0
30173|0|0|86
30175|0|0|107
30176|0|0|111
30177|0|0|51
30178|0|0|206
30179|0|0|682
30180|16|19|2317
30182|0|0|48
30183|0|10|349
30184|0|28|251
30185|0|0|47
30187|0|0|470
30188|2|51|7050
30189|100|108|4743
30204|0|9|432
30205|0|0|177
30206|0|0|47
30213|0|0|2715
30214|0|75|3353
30215|0|53|3102
30216|0|12|12
30217|0|20|210
30218|0|0|18
30220|0|0|68
30222|0|0|42
30223|0|22|1051
30224|0|0|835
30228|0|76|3536
30229|0|0|0
30230|0|0|570
30233|0|0|668
30234|0|0|2
30236|0|62|7290
30238|0|19|4226
30240|0|135|1122
30241|0|270|861
30248|0|0|1766
30250|0|0|182
30251|0|0|4
30252|0|157|3465
30253|0|101|5218
30256|0|0|0
30257|0|0|63
30258|0|0|0
30259|0|0|33
30260|0|68|6938
30263|0|7|4978
30265|8|222|2812
30268|0|0|889
30269|16|540|5889
30272|0|0|0
30273|0|0|1546
30274|0|4|4223
30275|0|0|0
30276|16|0|699
30277|0|30|1054
30281|0|75|5721
30284|0|0|0
30285|0|0|0
30286|0|12|501
30288|0|22|1213
30289|0|0|0
30290|0|16|562
30291|0|0|877
30292|0|0|279
30293|0|0|0
30294|0|0|2697
30295|0|0|51
30296|0|45|2869
30297|0|0|4283
30303|0|17|663
30305|138|399|3916
30306|21|108|2854
30307|0|19|1528
30308|107|57|2380
30309|51|123|4067
30310|0|90|1339
30311|0|0|1048
30312|72|68|1974
30313|0|96|1208
30314|0|74|1333
30315|6|0|1563
30316|0|21|2014
30317|0|35|683
30318|26|287|4950
30319|55|293|6126
30322|16|46|380
30324|97|79|5105
30326|132|235|1645
30327|24|101|1467
30328|48|90|6449
30329|30|183|7205
30331|57|0|2220
30332|9|90|337
30334|0|0|0
30336|0|0|6
30337|0|0|659
30338|0|330|7867
30339|123|189|5693
30340|16|164|10501
30341|12|338|6846
30342|156|118|5517
30344|0|17|2207
30345|13|59|5928
30346|0|162|1483
30349|0|0|5310
30350|73|33|6120
30354|0|0|2053
30360|16|153|4425
30363|0|52|1058
30401|0|0|329
30410|0|0|26
30411|0|0|19
30412|0|0|0
30413|0|0|0
30414|0|0|0
30415|12|0|94
30417|0|0|619
30420|0|0|78
30421|0|0|66
30423|0|0|0
30425|0|0|3
30426|0|0|2
30427|0|1|520
30428|0|0|65
30429|0|0|19
30434|0|0|85
30436|0|0|555
30439|0|0|646
30441|0|0|44
30442|0|0|463
30445|0|3|74
30446|0|0|0
30448|0|0|0
30449|0|0|0
30450|0|0|10
30451|0|0|0
30452|0|3|133
30453|0|0|849
30454|0|0|0
30455|0|0|0
30456|0|0|0
30457|0|0|27
30458|0|0|1712
30460|0|0|0
30461|0|14|704
30464|0|0|36
30467|0|0|232
30470|0|0|0
30471|0|0|187
30473|0|0|210
30474|0|15|933
30477|0|0|115
30501|0|0|6992
30504|0|20|6992
30506|0|65|2798
30507|0|24|7535
30510|0|0|1087
30511|0|0|711
30512|0|5|621
30513|0|0|172
30516|0|0|142
30517|0|16|987
30518|65|1166|11781
30519|0|2231|10245
30520|0|0|154
30521|0|4|266
30522|0|0|37
30523|0|0|266
30525|0|0|274
30527|0|0|40
30528|0|4|403
30529|0|0|518
30530|0|0|145
30531|0|0|1937
30533|0|1|1412
30534|0|22|1071
30535|0|5|227
30536|0|0|298
30537|0|0|95
30538|0|0|107
30539|0|0|40
30540|0|0|1420
30541|0|0|153
30542|0|26|4327
30543|0|0|784
30545|0|0|10
30546|0|8|188
30547|0|0|29
30548|0|130|1597
30549|0|16|1066
30552|0|0|14
30553|0|10|182
30554|23|0|438
30555|0|2|155
30557|0|0|57
30558|0|0|64
30559|0|0|200
30560|0|16|137
30562|0|0|99
30563|0|0|637
30564|0|0|195
30565|0|0|332
30566|0|30|1681
30567|0|0|455
30568|0|0|10
30571|0|0|92
30572|0|0|0
30573|0|0|0
30575|0|0|234
30576|0|0|107
30577|0|0|806
30581|0|0|198
30582|0|0|135
30597|0|0|16
30598|0|0|0
30601|0|16|2586
30602|13|14|129
30605|32|300|3751
30606|11|113|4653
30607|0|12|718
30609|0|27|219
30619|0|0|1
30620|0|5|1132
30621|0|1|259
30622|0|170|843
30623|0|0|0
30624|0|0|219
30625|0|0|14
30627|0|0|137
30628|0|0|170
30629|0|0|218
30630|0|0|13
30631|0|0|29
30633|0|0|127
30634|0|0|128
30635|9|0|639
30639|0|0|0
30641|0|0|0
30642|0|0|787
30643|0|102|300
30646|0|0|88
30648|0|0|4
30650|0|0|257
30655|0|0|709
30656|0|12|671
30660|0|0|48
30662|0|0|184
30663|0|0|75
30664|0|0|0
30665|0|0|0
30666|0|0|582
30667|0|0|2
30668|0|0|7
30669|0|0|137
30673|0|0|220
30677|28|122|1581
30678|0|0|0
30680|25|36|3385
30683|0|0|344
30701|0|85|4228
30705|0|0|2595
30707|0|0|51
30708|0|0|16
30710|0|5|318
30711|0|0|149
30720|0|190|5851
30721|0|57|11782
30724|0|0|32
30725|0|0|15
30726|0|0|0
30728|0|121|320
30730|0|0|3
30731|0|0|2
30733|0|0|125
30734|0|0|25
30735|0|0|584
30736|0|81|1043
30738|0|0|13
30739|0|0|59
30740|0|0|439
30741|0|22|400
30742|0|0|222
30746|0|0|0
30747|0|0|194
30750|11|7|123
30751|0|0|0
30752|0|0|211
30753|0|0|550
30755|0|6|553
30756|0|0|0
30757|0|0|23
30802|0|17|20
30803|0|0|0
30805|0|0|30
30807|0|0|0
30808|0|0|19
30809|0|471|3551
30810|0|0|0
30812|0|0|0
30813|0|162|2748
30814|0|0|104
30815|0|251|1546
30816|0|0|45
30817|0|0|189
30818|0|0|0
30820|0|0|0
30821|0|0|0
30822|0|0|0
30823|0|0|66
30824|0|0|415
30828|0|8|24
30830|5|52|163
30833|5|0|164
30901|0|0|182
30904|0|143|1015
30905|0|0|172
30906|0|61|1348
30907|89|345|4860
30909|49|130|2072
30912|0|0|0
31001|0|0|204
31002|0|0|254
31003|0|0|0
31004|0|0|0
31005|0|90|1202
31006|0|0|1
31007|0|0|40
31008|0|0|465
31009|0|0|55
31011|0|0|0
31012|0|0|117
31014|0|0|351
31015|0|46|213
31016|0|0|4
31017|0|0|29
31018|0|0|127
31019|0|0|0
31020|0|0|0
31021|0|0|232
31022|0|0|5
31023|0|0|176
31024|0|10|883
31025|0|0|32
31027|0|0|338
31028|0|0|409
31029|0|1|261
31030|0|6|969
31031|0|0|81
31032|0|0|232
31033|0|0|61
31034|0|0|0
31035|0|0|44
31036|0|5|246
31037|0|6|134
31038|0|0|0
31039|0|0|0
31041|0|0|8
31042|0|0|18
31044|0|0|13
31045|0|0|0
31046|0|0|7
31047|0|194|1166
31049|0|0|0
31050|0|0|0
31051|0|0|9
31052|0|30|131
31054|0|0|53
31055|0|0|1176
31057|0|0|0
31058|0|0|27
31060|0|0|1
31061|0|191|994
31062|0|0|26
31063|0|0|132
31064|0|0|60
31065|0|0|15
31066|0|0|0
31067|0|0|0
31068|0|0|10
31069|0|4|792
31070|0|0|27
31071|0|0|1
31072|0|0|5
31075|0|0|35
31076|0|0|33
31077|0|0|6
31078|0|0|29
31079|0|0|92
31081|0|0|0
31082|0|0|169
